iter	Passed	Remaining
715	12816	5083
716	12826	5062
717	12837	5041
718	12848	5021
719	12860	5001
720	12872	4981
721	12883	4960
722	12893	4939
723	12904	4919
724	12915	4898
725	12925	4878
726	12936	4857
727	12946	4837
728	12959	4817
729	12970	4797
730	12982	4777
731	13027	4769
732	13038	4749
733	13049	4729
734	13060	4708
735	13071	4688
736	13083	4668
737	13094	4648
738	13106	4628
739	13117	4608
740	13128	4588
741	13140	4569
742	13152	4549
743	13163	4529
744	13184	4512
745	13195	4492
746	13206	4472
747	13217	4453
748	13228	4433
749	13240	4413
750	13251	4393
751	13262	4373
752	13273	4354
753	13286	4334
754	13298	4315
755	13309	4295
756	13320	4275
757	13332	4256
758	13343	4236
759	13391	4228
760	13402	4209
761	13413	4189
762	13424	4169
763	13435	4150
764	13446	4130
765	13457	4111
766	13469	4091
767	13481	4072
768	13492	4052
769	13503	4033
770	13515	4014
771	13526	3994
772	13536	3975
773	13547	3955
774	13559	3936
775	13570	3917
776	13582	3898
777	13593	3878
778	13604	3859
779	13615	3840
780	13626	3821
781	13637	3801
782	13648	3782
783	13659	3763
784	13670	3744
785	13681	3725
786	13692	3705
787	13703	3686
788	13714	3667
789	13725	3648
790	13735	3629
791	13746	3610
792	13757	3591
793	13768	3572
794	13779	3553
795	13790	3534
796	13801	3515
797	13811	3496
798	13822	3477
799	13833	3458
800	13843	3439
801	13853	3420
802	13864	3401
803	13875	3382
804	13886	3363
805	13897	3345
806	13907	3326
807	13918	3307
808	13928	3288
809	13941	3270
810	13951	3251
811	13962	3232
812	13972	3213
813	13983	3195
814	13993	3176
815	14005	3158
816	14016	3139
817	14026	3120
818	14038	3102
819	14048	3083
820	14059	3065
821	14071	3047
822	14095	3031
823	14123	3016
824	14134	2998
825	14145	2979
826	14156	2961
827	14167	2943
828	14178	2924
829	14190	2906
830	14200	2888
831	14211	2869
832	14222	2851
833	14233	2833
834	14244	2814
835	14257	2796
836	14268	2778
837	14279	2760
838	14290	2742
839	14301	2724
840	14312	2705
841	14323	2687
842	14334	2669
843	14345	2651
844	14356	2633
845	14367	2615
846	14378	2597
847	14390	2579
848	14401	2561
849	14412	2543
850	14423	2525
851	14434	2507
852	14445	2489
853	14456	2471
854	14469	2453
855	14479	2435
856	14490	2417
857	14501	2399
858	14514	2382
859	14525	2364
860	14536	2346
861	14547	2328
862	14557	2311
863	14568	2293
864	14578	2275
865	14589	2257
866	14600	2239
867	14610	2221
868	14621	2204
869	14636	2187
870	14647	2169
871	14658	2151
872	14668	2133
873	14678	2116
874	14690	2098
875	14700	2080
876	14721	2064
877	14733	2047
878	14744	2029
879	14755	2012
880	14767	1994
881	14778	1977
882	14789	1959
883	14800	1942
884	14811	1924
885	14822	1907
886	14833	1889
887	14844	1872
888	14856	1854
889	14867	1837
890	14877	1820
891	14889	1802
892	14899	1785
893	14911	1767
894	14922	1750
895	14933	1733
896	14945	1716
897	14957	1698
898	14968	1681
899	14980	1664
900	14990	1647
901	15001	1629
902	15014	1612
903	15025	1595
904	15036	1578
905	15047	1561
906	15058	1544
907	15071	1527
908	15085	1510
909	15098	1493
910	15110	1476
911	15123	1459
912	15136	1442
913	15148	1425
914	15158	1408
915	15169	1391
916	15181	1374
917	15195	1357
918	15206	1340
919	15217	1323
920	15229	1306
921	15239	1289
922	15250	1272
923	15262	1255
924	15273	1238
925	15284	1221
926	15295	1204
927	15306	1187
928	15317	1170
929	15336	1154
930	15349	1137
931	15361	1120
932	15373	1103
933	15385	1087
934	15397	1070
935	15408	1053
936	15420	1036
937	15431	1020
938	15444	1003
939	15457	986
940	15468	969
941	15480	953
942	15492	936
943	15504	919
944	15515	903
945	15527	886
946	15539	869
947	15550	852
948	15561	836
949	15573	819
950	15585	803
951	15598	786
952	15609	769
953	15630	753
954	15650	737
955	15662	720
956	15673	704
957	15686	687
958	15697	671
959	15709	654
960	15720	637
961	15732	621
962	15745	604
963	15756	588
964	15780	572
965	15792	555
966	15812	539
967	15840	523
968	15868	507
969	15882	491
970	15917	475
971	15933	458
972	15946	442
973	15966	426
974	15979	409
975	15990	393
976	16005	376
977	16017	360
978	16044	344
979	16080	328
980	16176	313
981	16210	297
982	16246	280
983	16280	264
984	16314	248
985	16349	232
986	16384	215
987	16419	199
988	16438	182
989	16450	166
990	16460	149
991	16471	132
992	16482	116
993	16493	99
994	16504	82
995	16514	66
996	16525	49
997	16535	33
998	16547	16
999	16559	0
